SITE_ID,COLUMN_NAME,INSTRUMENT_ID,START_DATETIME,END_DATETIME,INSTALLATION_HEIGHT,INSTANCE,SERIAL_NUMBER,COMMENTS
REDHL,TDT2,TDT,2016-02-18 16:00:00,,,1,6501261,
REDHL,HFP2,HFP01SC,2016-02-18 16:00:00,,,1,3678,
REDHL,HFP1,HFP01SC,2016-02-18 16:00:00,,,1,3677,
REDHL,PLUVIO,PLUVIO2,2016-02-18 16:00:00,2019-10-04 07:44:00,,1,358375,
REDHL,IMKO2,IMKO,2016-02-18 16:00:00,2020-01-30 00:00:00,,1,36156,
REDHL,IMKO3,IMKO,2016-02-18 16:00:00,2020-01-30 00:00:00,,1,36157,
REDHL,STP,STP,2016-02-18 16:00:00,,,1,2215,
HARTW,ETHERNET,ETHERNET_115,2014-05-20 13:30:00,2017-02-22 12:00:00,,1,11879,
PORTN,HYGROCLIP,HYGROCLIP_HC2,2017-04-27 08:30:00,2018-11-07 10:30:00,,2,61019529,
WYTH1,4CR,NR01,2013-11-26 00:30:00,2016-09-30 09:00:00,,1,1939,
PORTN,HYGROCLIP,HYGROCLIP_HC2,2014-12-18 10:30:00,2017-04-27 08:30:00,,1,61211924,
SHEEP,TDT1,TDT,2017-04-12 11:30:00,2017-11-09 13:00:00,,2,6501252,
SHEEP,HYGROCLIP,HYGROCLIP_HC2,2016-08-24 09:30:00,2017-04-12 11:30:00,,1,61222916,
SHEEP,HYGROCLIP,HYGROCLIP_HC2,2017-04-12 11:30:00,2018-07-05 11:00:00,,2,61218689,
WYTH1,AWS,METPAK,2013-11-26 00:30:00,2016-09-30 09:00:00,,1,13200014,
WYTH1,STP,STP,2013-11-26 00:30:00,2016-09-30 09:00:00,,1,2213,
WYTH1,TDT1,TDT,2013-11-26 00:30:00,2016-09-30 09:00:00,,1,6501041,
WYTH1,TDT2,TDT,2013-11-26 00:30:00,2014-01-28 12:00:00,,1,6501037,Installed 1.5 m from end of rain gauge sleeper. Acclima probe badly in line with North edge of sleeper
WYTH1,HFP1,HFP01SC,2013-11-26 00:30:00,2016-09-30 09:00:00,,1,3234,
WYTH1,IMKO3,IMKO,2013-11-26 00:30:00,2016-09-30 09:00:00,,1,35900,
WYTH1,IMKO1,IMKO,2013-11-26 00:30:00,2016-09-30 09:00:00,,1,35898,
WYTH1,CRNS_BARE,CRNS_1000B_BARE,2013-11-26 00:30:00,2016-09-30 09:00:00,,1,HI-TC01-1003,
WYTH1,PLUVIO,PLUVIO2,2013-11-26 00:30:00,2016-09-30 09:00:00,,1,328998,
SOURH,CRNS,CRNS_2000,2014-11-19 11:00:00,,,1,HI-TC02-2037,
SOURH,CRNS_SNOW,SNOWFOX,2014-11-19 11:00:00,,,1,HI-TC02-2032,
SOURH,HFP1,HFP01SC,2014-11-19 11:00:00,,,1,3685,
SOURH,HFP2,HFP01SC,2014-11-19 11:00:00,,,1,3684,
SOURH,STP,STP,2014-11-19 11:00:00,,,1,2230,
SOURH,AWS_ANEM,WIND_ANEM,2014-11-19 11:00:00,2020-10-07 00:00:00,2.6,1,140303,
SOURH,AWS,METPAK,2014-11-19 11:00:00,2019-01-01 00:00:00,,1,14080004,End date unknown - False end date entered
BALRD,PHENOCAM_LENS1,PHENOCAM_LENS,2014-05-15 17:30:00,2018-07-04 09:00:00,,1,5921978,
GLENW,PHENOCAM_LENS2,PHENOCAM_LENS,2016-06-15 15:00:00,2018-11-14 12:00:00,,1,5939836,IP:10.16.44.183
HADLW,PHENOCAM_LENS2,PHENOCAM_LENS,2016-10-27 14:30:00,2018-10-25 14:00:00,,1,5994293,IP:10.16.44.221
HENFS,PHENOCAM_LENS2,PHENOCAM_LENS,2015-12-17 13:00:00,2018-11-01 12:00:00,,1,5376083,IP:10.16.106.233
HILLB,PHENOCAM_LENS2,PHENOCAM_LENS,2016-06-14 17:00:00,2018-11-15 15:00:00,,1,5388919,IP:10.16.106.228
LIZRD,PHENOCAM_LENS2,PHENOCAM_LENS,2014-10-17 12:00:00,2018-12-06 12:00:00,,1,5920763,IP:10.12.91.83
LODTN,PHENOCAM_LENS2,PHENOCAM_LENS,2016-04-26 15:00:00,,,1,5375137,IP:10.16.106.73. Installed in MKll enclosure after PPM on 23/04/2018
LULLN,PHENOCAM_LENS2,PHENOCAM_LENS,2014-12-16 15:30:00,2018-10-26 12:00:00,,1,5920039,IP:10.12.108.153
MOORH,PHENOCAM_LENS2,PHENOCAM_LENS,2014-12-04 11:30:00,2018-08-15 08:00:00,,1,5920607,IP:10.12.108.158
MORLY,PHENOCAM_LENS2,PHENOCAM_LENS,2014-05-14 05:00:00,2018-09-18 08:00:00,,1,5911352,
NWYKE,PHENOCAM_LENS2,PHENOCAM_LENS,2014-10-16 09:00:00,2018-12-05 12:00:00,,1,5913580,IP:10.12.91.71
PLYNL,PHENOCAM_LENS2,PHENOCAM_LENS,2014-11-05 12:30:00,2016-04-09 00:00:00,,1,5919424,IP:10.12.77.243 - stolen
REDHL,PHENOCAM_LENS2,PHENOCAM_LENS,2016-02-18 16:00:00,,,1,5913491,IP:10.12.106.248
ROTHD,PHENOCAM_LENS2,PHENOCAM_LENS,2014-07-25 08:00:00,2018-10-03 12:00:00,,1,5918314,IP:10.12.108.163
STGHT,PHENOCAM_LENS2,PHENOCAM_LENS,2015-08-19 06:30:00,2018-08-23 12:00:00,,1,5355965,IP:10.16.65.218
STIPS,PHENOCAM_LENS2,PHENOCAM_LENS,2014-11-06 15:00:00,2018-07-12 12:00:00,,1,5919717,IP:10.12.77.172
TADHM,PHENOCAM_LENS2,PHENOCAM_LENS,2014-10-14 12:00:00,2018-12-04 12:00:00,,1,5913655,IP:10.11.113.37
WADDN,PHENOCAM_LENS2,PHENOCAM_LENS,2013-11-04 18:30:00,2018-10-04 12:00:00,,1,5922444,IP:10.12.150.105
WYTH1,PHENOCAM_LENS2,PHENOCAM_LENS,2013-11-26 00:30:00,2016-09-30 09:00:00,,1,5921837,IP:10.12.147.232
CHIMN,GPRS,GPRS,2013-10-02 13:30:00,2019-10-09 11:00:00,,1,354374042497801,
EASTB,MODEM,MODEM,2014-08-13 11:30:00,2019-10-29 15:30:00,,1,306252785782,
GISBN,GPRS,GPRS,2014-08-15 12:00:00,2018-12-18 12:00:00,,1,306263425754,
HARWD,GPRS,GPRS,2015-05-22 12:00:00,2017-11-15 15:30:00,,1,359991030602775,
LULLN,GPRS,GPRS,2014-12-16 15:30:00,2017-06-01 10:30:00,,1,306251615997,
MOORH,GPRS,GPRS,2014-12-04 11:30:00,2020-02-26 12:00:00,,1,306252605974,
NWYKE,GPRS,GPRS,2014-10-16 09:00:00,2020-01-01 00:00:00,,1,306055025654,Unsure of removal date
PLYNL,GPRS,GPRS,2014-11-05 12:30:00,2019-11-15 10:00:00,,1,306252866011,
STIPS,MODEM,MODEM,2014-11-06 15:00:00,2020-01-23 12:00:00,,1,306054605675,
TADHM,GPRS,GPRS,2014-10-14 12:00:00,2016-01-01 00:00:00,,1,306019725727,Unsure of removal date
WYTH1,GPRS,GPRS,2013-11-26 00:30:00,2016-09-30 09:00:00,,1,359991030457755,
CHIMN,ETHERNET,ETHERNET_115,2013-10-02 13:30:00,2018-10-05 13:00:00,,1,11043,
